station_name,latitude,longitude,AT,RH,PM2_5,PM10,CO2,time_slot,start_hour,end_hour,slot_number
Gurugram -  Kanhai Bijli Board,28.446669,77.073737,29.886666666666667,75.88,29.09,138.76,447.6966666666667,00:00-02:59,0,2,1
Gurugram - Baliawas Govt School,28.424617,77.144362,29.94333333333333,95.0,49.63666666666666,71.53666666666668,482.1233333333333,00:00-02:59,0,2,1
Gurugram - Bhondsi Govt School ,28.349559,77.06553,30.076666666666668,72.04,27.13,140.66333333333333,,00:00-02:59,0,2,1
Gurugram - Daulatbad School  ,28.490547,76.994509,32.52,74.81666666666666,45.53333333333333,104.80666666666667,473.70666666666665,00:00-02:59,0,2,1
Gurugram - Garouli Khurd Govt School ,28.441068,76.981293,30.50333333333333,89.43,38.02333333333333,97.14666666666666,403.24,00:00-02:59,0,2,1
Gurugram - Ghata Govt School,28.42223,77.113236,31.686666666666667,86.96333333333332,25.19333333333333,47.06666666666666,404.60999999999996,00:00-02:59,0,2,1
Gurugram - Gwal Pahari Govt School ,28.433922,77.145996,30.373333333333335,95.0,44.620000000000005,66.49666666666667,400.0,00:00-02:59,0,2,1
Gurugram - IMT Manesar  Krishna society,28.357999,76.935903,31.296666666666667,84.44333333333333,22.406666666666666,107.65666666666668,457.43666666666667,00:00-02:59,0,2,1
Gurugram - Jharsa Govt School ,28.441337,77.048096,32.56666666666667,92.31,38.153333333333336,97.43666666666667,400.0,00:00-02:59,0,2,1
Gurugram - Kadarpur Govt School ,28.393339,77.101757,,28.8,10.343333333333334,48.13333333333333,400.0,00:00-02:59,0,2,1
Gurugram - Krishna Nagar budhera watar plant,28.48293,76.908602,32.24,81.64,41.07666666666666,82.73,400.08,00:00-02:59,0,2,1
Gurugram - Manesar Polytechnic Collage ,28.335762,76.926774,30.939999999999998,92.95666666666666,31.906666666666666,47.876666666666665,436.75333333333333,00:00-02:59,0,2,1
Gurugram - Manesar Village Govt School,28.352222,76.937177,31.14,86.04333333333334,23.486666666666668,109.98,417.4766666666667,00:00-02:59,0,2,1
Gurugram - Marla Shivaji Nagar Police Station,28.453801,77.020454,32.18,77.89333333333333,44.11333333333334,103.28000000000002,400.0,00:00-02:59,0,2,1
Gurugram - Nurangpur Govt School,28.353966,76.969591,31.27,90.60000000000001,23.576666666666668,110.07,400.0,00:00-02:59,0,2,1
Gurugram - Sector 1,28.365316,76.946438,25.91,95.0,32.60666666666666,119.05333333333333,487.6933333333333,00:00-02:59,0,2,1
Gurugram - Sector 10,28.45059,76.99679,24.576666666666668,95.0,31.133333333333336,90.40333333333332,423.2966666666666,00:00-02:59,0,2,1
Gurugram - Sector 105,28.500617,77.013227,32.13333333333333,75.37666666666667,48.166666666666664,107.43666666666667,627.4033333333333,00:00-02:59,0,2,1
Gurugram - Sector 11 - Colocation Vikas Sadan ,28.449563,77.028166,31.516666666666666,95.0,33.34,92.62333333333333,461.31666666666666,00:00-02:59,0,2,1
Gurugram - Sector 113 ,28.532499,77.02384,31.840000000000003,79.14666666666666,39.72333333333333,122.32000000000001,423.0733333333333,00:00-02:59,0,2,1
Gurugram - Sector 12,28.466067,77.023713,38.17333333333333,50.72666666666667,41.67333333333333,100.94333333333333,526.8100000000001,00:00-02:59,0,2,1
Gurugram - Sector 14 shuash chandar park,28.473744,77.053508,26.263333333333335,95.0,31.746666666666666,90.77999999999999,482.93,00:00-02:59,0,2,1
Gurugram - Sector 15,28.452573,77.040449,30.929999999999996,95.0,34.53,93.82666666666667,523.9833333333332,00:00-02:59,0,2,1
Gurugram - Sector 15 MCG Old Committee,28.461273,77.032849,29.863333333333333,95.0,37.89333333333334,97.17999999999999,407.98,00:00-02:59,0,2,1
